ensemble,case,b,n,s,time_h,eke_nh_area_mass_weighted_m2_s-2
standard,BCwave_b1n1s-10,1.0,1,-10,1.0,0.0008224689200553251
standard,BCwave_b1n1s-10,1.0,1,-10,2.0,0.0008229607103430069
standard,BCwave_b1n1s-10,1.0,1,-10,3.0,0.000794741850782498
standard,BCwave_b1n1s-10,1.0,1,-10,4.0,0.0007436355031932019
standard,BCwave_b1n1s-10,1.0,1,-10,5.0,0.0007053950714016532
standard,BCwave_b1n1s-10,1.0,1,-10,6.0,0.0006812061963414097
standard,BCwave_b1n1s-10,1.0,1,-10,7.0,0.0006593722665748945
standard,BCwave_b1n1s-10,1.0,1,-10,8.0,0.0006437823552318545
standard,BCwave_b1n1s-10,1.0,1,-10,9.0,0.0006305761862200556
standard,BCwave_b1n1s-10,1.0,1,-10,10.0,0.0006150041166227163
standard,BCwave_b1n1s-10,1.0,1,-10,11.0,0.0006028690017222978
standard,BCwave_b1n1s-10,1.0,1,-10,12.0,0.0005884509522428711
standard,BCwave_b1n1s-10,1.0,1,-10,13.0,0.000576833417116955
standard,BCwave_b1n1s-10,1.0,1,-10,14.0,0.0005660245623463246
standard,BCwave_b1n1s-10,1.0,1,-10,15.0,0.0005574836901392108
standard,BCwave_b1n1s-10,1.0,1,-10,16.0,0.0005526492481401732
standard,BCwave_b1n1s-10,1.0,1,-10,17.0,0.0005512945716904167
standard,BCwave_b1n1s-10,1.0,1,-10,18.0,0.0005530860808056219
standard,BCwave_b1n1s-10,1.0,1,-10,19.0,0.0005567976275571915
standard,BCwave_b1n1s-10,1.0,1,-10,20.0,0.0005615012581475008
standard,BCwave_b1n1s-10,1.0,1,-10,21.0,0.000565700448098268
standard,BCwave_b1n1s-10,1.0,1,-10,22.0,0.0005774949022174522
standard,BCwave_b1n1s-10,1.0,1,-10,23.0,0.000592274111888284
standard,BCwave_b1n1s-10,1.0,1,-10,24.0,0.0006049353148126795
standard,BCwave_b1n1s-10,1.0,1,-10,25.0,0.0006178623585693625
standard,BCwave_b1n1s-10,1.0,1,-10,26.0,0.0006292515328703296
standard,BCwave_b1n1s-10,1.0,1,-10,27.0,0.0006378011953858005
standard,BCwave_b1n1s-10,1.0,1,-10,28.0,0.0006441043021381607
standard,BCwave_b1n1s-10,1.0,1,-10,29.0,0.0006467042060108385
standard,BCwave_b1n1s-10,1.0,1,-10,30.0,0.0006479757685353866
standard,BCwave_b1n1s-10,1.0,1,-10,31.0,0.0006484724683204244
standard,BCwave_b1n1s-10,1.0,1,-10,32.0,0.000650933567349363
standard,BCwave_b1n1s-10,1.0,1,-10,33.0,0.0006515826273204238
standard,BCwave_b1n1s-10,1.0,1,-10,34.0,0.0006461760143589301
standard,BCwave_b1n1s-10,1.0,1,-10,35.0,0.0006757278516479716
standard,BCwave_b1n1s-10,1.0,1,-10,36.0,0.0005989421287215644
standard,BCwave_b1n1s-10,1.0,1,-10,37.0,0.0006849705973229075
standard,BCwave_b1n1s-10,1.0,1,-10,38.0,0.0006528492291088922
standard,BCwave_b1n1s-10,1.0,1,-10,39.0,0.0006288738472255624
standard,BCwave_b1n1s-10,1.0,1,-10,40.0,0.0006346356605482661
standard,BCwave_b1n1s-10,1.0,1,-10,41.0,0.0006388343136073246
standard,BCwave_b1n1s-10,1.0,1,-10,42.0,0.0006350478699461705
standard,BCwave_b1n1s-10,1.0,1,-10,43.0,0.0006327802744136881
standard,BCwave_b1n1s-10,1.0,1,-10,44.0,0.0006346290374428735
standard,BCwave_b1n1s-10,1.0,1,-10,45.0,0.0006416500139757981
standard,BCwave_b1n1s-10,1.0,1,-10,46.0,0.0006468426939615706
standard,BCwave_b1n1s-10,1.0,1,-10,47.0,0.0006476160683066961
standard,BCwave_b1n1s-10,1.0,1,-10,48.0,0.000645489857090089
standard,BCwave_b1n1s-10,1.0,1,-10,49.0,0.0006434844311204666
standard,BCwave_b1n1s-10,1.0,1,-10,50.0,0.0006453497958844123
standard,BCwave_b1n1s-10,1.0,1,-10,51.0,0.0006503015705805238
standard,BCwave_b1n1s-10,1.0,1,-10,52.0,0.0006563020176404752
standard,BCwave_b1n1s-10,1.0,1,-10,53.0,0.0006594781487337927
standard,BCwave_b1n1s-10,1.0,1,-10,54.0,0.0006608383333656125
standard,BCwave_b1n1s-10,1.0,1,-10,55.0,0.0006651257258972435
standard,BCwave_b1n1s-10,1.0,1,-10,56.0,0.000674277575368447
standard,BCwave_b1n1s-10,1.0,1,-10,57.0,0.0006874675733003013
standard,BCwave_b1n1s-10,1.0,1,-10,58.0,0.0007027265618358134
standard,BCwave_b1n1s-10,1.0,1,-10,59.0,0.0007151417148113668
standard,BCwave_b1n1s-10,1.0,1,-10,60.0,0.0007206427696641781
standard,BCwave_b1n1s-10,1.0,1,-10,61.0,0.0007231336307040345
standard,BCwave_b1n1s-10,1.0,1,-10,62.0,0.0007279481722359973
standard,BCwave_b1n1s-10,1.0,1,-10,63.0,0.0007367453977517917
standard,BCwave_b1n1s-10,1.0,1,-10,64.0,0.0007465909188024199
standard,BCwave_b1n1s-10,1.0,1,-10,65.0,0.0007539355993061468
standard,BCwave_b1n1s-10,1.0,1,-10,66.0,0.0007604501042402447
standard,BCwave_b1n1s-10,1.0,1,-10,67.0,0.0007692952793624555
standard,BCwave_b1n1s-10,1.0,1,-10,68.0,0.0007754153621513016
standard,BCwave_b1n1s-10,1.0,1,-10,69.0,0.0007762397722992835
standard,BCwave_b1n1s-10,1.0,1,-10,70.0,0.0007900467538141854
standard,BCwave_b1n1s-10,1.0,1,-10,71.0,0.0007900120691034496
standard,BCwave_b1n1s-10,1.0,1,-10,72.0,0.0008173207985525857
standard,BCwave_b1n1s-10,1.0,1,-10,73.0,0.0008247594289838622
standard,BCwave_b1n1s-10,1.0,1,-10,74.0,0.0008520912880995552
standard,BCwave_b1n1s-10,1.0,1,-10,75.0,0.0008462001858639379
standard,BCwave_b1n1s-10,1.0,1,-10,76.0,0.0008390051892790812
standard,BCwave_b1n1s-10,1.0,1,-10,77.0,0.0008604973226761909
standard,BCwave_b1n1s-10,1.0,1,-10,78.0,0.0008876283392933688
standard,BCwave_b1n1s-10,1.0,1,-10,79.0,0.0008970031850177095
standard,BCwave_b1n1s-10,1.0,1,-10,80.0,0.0008962866205380383
standard,BCwave_b1n1s-10,1.0,1,-10,81.0,0.0009034843846502607
standard,BCwave_b1n1s-10,1.0,1,-10,82.0,0.0009214878497545885
standard,BCwave_b1n1s-10,1.0,1,-10,83.0,0.0009414544113305277
standard,BCwave_b1n1s-10,1.0,1,-10,84.0,0.0009597546335298995
standard,BCwave_b1n1s-10,1.0,1,-10,85.0,0.000978382890218749
standard,BCwave_b1n1s-10,1.0,1,-10,86.0,0.000998515221960724
standard,BCwave_b1n1s-10,1.0,1,-10,87.0,0.0010185542188186419
standard,BCwave_b1n1s-10,1.0,1,-10,88.0,0.001035817133846116
standard,BCwave_b1n1s-10,1.0,1,-10,89.0,0.0010516657828952116
standard,BCwave_b1n1s-10,1.0,1,-10,90.0,0.0010699087200910502
standard,BCwave_b1n1s-10,1.0,1,-10,91.0,0.001095192233824192
standard,BCwave_b1n1s-10,1.0,1,-10,92.0,0.0011219638155235225
standard,BCwave_b1n1s-10,1.0,1,-10,93.0,0.0011447780150491305
standard,BCwave_b1n1s-10,1.0,1,-10,94.0,0.0011633733355535462
standard,BCwave_b1n1s-10,1.0,1,-10,95.0,0.0011828455300452376
standard,BCwave_b1n1s-10,1.0,1,-10,96.0,0.0012071189725452456
standard,BCwave_b1n1s-10,1.0,1,-10,97.0,0.0012366633950018958
standard,BCwave_b1n1s-10,1.0,1,-10,98.0,0.0012671869864622665
standard,BCwave_b1n1s-10,1.0,1,-10,99.0,0.0012977419803467
standard,BCwave_b1n1s-10,1.0,1,-10,100.0,0.001330337845634053
standard,BCwave_b1n1s-10,1.0,1,-10,101.0,0.0013614740535325114
standard,BCwave_b1n1s-10,1.0,1,-10,102.0,0.0013897713497459
standard,BCwave_b1n1s-10,1.0,1,-10,103.0,0.0014236592935663707
standard,BCwave_b1n1s-10,1.0,1,-10,104.0,0.001465661053217152
standard,BCwave_b1n1s-10,1.0,1,-10,105.0,0.0015031955800533664
standard,BCwave_b1n1s-10,1.0,1,-10,106.0,0.0015305415715841295
standard,BCwave_b1n1s-10,1.0,1,-10,107.0,0.001569376876649029
standard,BCwave_b1n1s-10,1.0,1,-10,108.0,0.0016078981252119588
standard,BCwave_b1n1s-10,1.0,1,-10,109.0,0.0016529593170708965
standard,BCwave_b1n1s-10,1.0,1,-10,110.0,0.001694475948083057
standard,BCwave_b1n1s-10,1.0,1,-10,111.0,0.001743991372067141
standard,BCwave_b1n1s-10,1.0,1,-10,112.0,0.001795856269023705
standard,BCwave_b1n1s-10,1.0,1,-10,113.0,0.0018408331890428647
standard,BCwave_b1n1s-10,1.0,1,-10,114.0,0.001889009846745119
standard,BCwave_b1n1s-10,1.0,1,-10,115.0,0.0019496067587306306
standard,BCwave_b1n1s-10,1.0,1,-10,116.0,0.002013552741054593
standard,BCwave_b1n1s-10,1.0,1,-10,117.0,0.002068843904532423
standard,BCwave_b1n1s-10,1.0,1,-10,118.0,0.0021207826667251277
standard,BCwave_b1n1s-10,1.0,1,-10,119.0,0.0021818340796139774
standard,BCwave_b1n1s-10,1.0,1,-10,120.0,0.0022513469300319863
standard,BCwave_b1n1s-10,1.0,1,-10,121.0,0.0023223915183874784
standard,BCwave_b1n1s-10,1.0,1,-10,122.0,0.0023947706182211276
standard,BCwave_b1n1s-10,1.0,1,-10,123.0,0.002471729643482095
standard,BCwave_b1n1s-10,1.0,1,-10,124.0,0.0025502494771114624
standard,BCwave_b1n1s-10,1.0,1,-10,125.0,0.002625065546370549
standard,BCwave_b1n1s-10,1.0,1,-10,126.0,0.0027029645748427927
standard,BCwave_b1n1s-10,1.0,1,-10,127.0,0.0027869634975909957
standard,BCwave_b1n1s-10,1.0,1,-10,128.0,0.0028770433111661737
standard,BCwave_b1n1s-10,1.0,1,-10,129.0,0.0029727550796532607
standard,BCwave_b1n1s-10,1.0,1,-10,130.0,0.003074461920820826
standard,BCwave_b1n1s-10,1.0,1,-10,131.0,0.0031819026167199324
standard,BCwave_b1n1s-10,1.0,1,-10,132.0,0.0032905945200380465
standard,BCwave_b1n1s-10,1.0,1,-10,133.0,0.0033990408494774735
standard,BCwave_b1n1s-10,1.0,1,-10,134.0,0.003510239883485857
standard,BCwave_b1n1s-10,1.0,1,-10,135.0,0.0036245456374917975
standard,BCwave_b1n1s-10,1.0,1,-10,136.0,0.003746344368600479
standard,BCwave_b1n1s-10,1.0,1,-10,137.0,0.003880283496971476
standard,BCwave_b1n1s-10,1.0,1,-10,138.0,0.0040200541009660674
standard,BCwave_b1n1s-10,1.0,1,-10,139.0,0.004161704588725527
standard,BCwave_b1n1s-10,1.0,1,-10,140.0,0.0043114418288637945
standard,BCwave_b1n1s-10,1.0,1,-10,141.0,0.004466436487427598
standard,BCwave_b1n1s-10,1.0,1,-10,142.0,0.004622246561518935
standard,BCwave_b1n1s-10,1.0,1,-10,143.0,0.004784745129908614
standard,BCwave_b1n1s-10,1.0,1,-10,144.0,0.004954573615341639
standard,BCwave_b1n1s-10,1.0,1,-10,145.0,0.005125365533485156
standard,BCwave_b1n1s-10,1.0,1,-10,146.0,0.005316602713368668
standard,BCwave_b1n1s-10,1.0,1,-10,147.0,0.005521244934074641
standard,BCwave_b1n1s-10,1.0,1,-10,148.0,0.005722059543429175
standard,BCwave_b1n1s-10,1.0,1,-10,149.0,0.005930669561859238
standard,BCwave_b1n1s-10,1.0,1,-10,150.0,0.0061569775888432625
standard,BCwave_b1n1s-10,1.0,1,-10,151.0,0.006389349016474712
standard,BCwave_b1n1s-10,1.0,1,-10,152.0,0.00662541014648466
standard,BCwave_b1n1s-10,1.0,1,-10,153.0,0.00687184579317772
standard,BCwave_b1n1s-10,1.0,1,-10,154.0,0.007125084213723146
standard,BCwave_b1n1s-10,1.0,1,-10,155.0,0.007387913064653861
standard,BCwave_b1n1s-10,1.0,1,-10,156.0,0.007670291172059712
standard,BCwave_b1n1s-10,1.0,1,-10,157.0,0.007967463230753154
standard,BCwave_b1n1s-10,1.0,1,-10,158.0,0.008270267591155473
standard,BCwave_b1n1s-10,1.0,1,-10,159.0,0.008583529809815442
standard,BCwave_b1n1s-10,1.0,1,-10,160.0,0.008914381611282312
standard,BCwave_b1n1s-10,1.0,1,-10,161.0,0.009263361699978316
standard,BCwave_b1n1s-10,1.0,1,-10,162.0,0.009623656106425169
standard,BCwave_b1n1s-10,1.0,1,-10,163.0,0.009995494499912345
standard,BCwave_b1n1s-10,1.0,1,-10,164.0,0.010384244057787862
standard,BCwave_b1n1s-10,1.0,1,-10,165.0,0.010791675128423217
standard,BCwave_b1n1s-10,1.0,1,-10,166.0,0.011216582928171117
standard,BCwave_b1n1s-10,1.0,1,-10,167.0,0.011658604259097536
standard,BCwave_b1n1s-10,1.0,1,-10,168.0,0.012118204257729423
standard,BCwave_b1n1s-10,1.0,1,-10,169.0,0.012596581357291085
standard,BCwave_b1n1s-10,1.0,1,-10,170.0,0.013096385564759972
standard,BCwave_b1n1s-10,1.0,1,-10,171.0,0.01361989352577717
standard,BCwave_b1n1s-10,1.0,1,-10,172.0,0.014163432144210038
standard,BCwave_b1n1s-10,1.0,1,-10,173.0,0.014727110038107519
standard,BCwave_b1n1s-10,1.0,1,-10,174.0,0.015317164897950368
standard,BCwave_b1n1s-10,1.0,1,-10,175.0,0.015935412475857506
standard,BCwave_b1n1s-10,1.0,1,-10,176.0,0.016580747692539102
standard,BCwave_b1n1s-10,1.0,1,-10,177.0,0.017251400739732133
standard,BCwave_b1n1s-10,1.0,1,-10,178.0,0.017948911728963825
standard,BCwave_b1n1s-10,1.0,1,-10,179.0,0.018676252191811182
standard,BCwave_b1n1s-10,1.0,1,-10,180.0,0.019432885545234067
standard,BCwave_b1n1s-10,1.0,1,-10,181.0,0.02022249147678272
standard,BCwave_b1n1s-10,1.0,1,-10,182.0,0.021041988179359768
standard,BCwave_b1n1s-10,1.0,1,-10,183.0,0.021896516267917807
standard,BCwave_b1n1s-10,1.0,1,-10,184.0,0.022797918410048884
standard,BCwave_b1n1s-10,1.0,1,-10,185.0,0.023739607731511948
standard,BCwave_b1n1s-10,1.0,1,-10,186.0,0.02471502287651227
standard,BCwave_b1n1s-10,1.0,1,-10,187.0,0.02573310808487204
standard,BCwave_b1n1s-10,1.0,1,-10,188.0,0.026792030397246452
standard,BCwave_b1n1s-10,1.0,1,-10,189.0,0.027891884886011124
standard,BCwave_b1n1s-10,1.0,1,-10,190.0,0.029044150093697485
standard,BCwave_b1n1s-10,1.0,1,-10,191.0,0.030247809556030698
standard,BCwave_b1n1s-10,1.0,1,-10,192.0,0.03149926986403461
standard,BCwave_b1n1s-10,1.0,1,-10,193.0,0.03280581170559249
standard,BCwave_b1n1s-10,1.0,1,-10,194.0,0.0341712412500279
standard,BCwave_b1n1s-10,1.0,1,-10,195.0,0.03559333679754894
standard,BCwave_b1n1s-10,1.0,1,-10,196.0,0.037074344110472765
standard,BCwave_b1n1s-10,1.0,1,-10,197.0,0.0386170049513847
standard,BCwave_b1n1s-10,1.0,1,-10,198.0,0.04022243486587238
standard,BCwave_b1n1s-10,1.0,1,-10,199.0,0.04189375873768139
standard,BCwave_b1n1s-10,1.0,1,-10,200.0,0.04363733480832491
standard,BCwave_b1n1s-10,1.0,1,-10,201.0,0.0454592104536001
standard,BCwave_b1n1s-10,1.0,1,-10,202.0,0.04736320711087867
standard,BCwave_b1n1s-10,1.0,1,-10,203.0,0.04934965373875488
standard,BCwave_b1n1s-10,1.0,1,-10,204.0,0.05141830864867982
standard,BCwave_b1n1s-10,1.0,1,-10,205.0,0.05357230891194609
standard,BCwave_b1n1s-10,1.0,1,-10,206.0,0.05581503700775923
standard,BCwave_b1n1s-10,1.0,1,-10,207.0,0.05815047650875369
standard,BCwave_b1n1s-10,1.0,1,-10,208.0,0.06058644388021193
standard,BCwave_b1n1s-10,1.0,1,-10,209.0,0.06312834967306971
standard,BCwave_b1n1s-10,1.0,1,-10,210.0,0.06577776948009696
standard,BCwave_b1n1s-10,1.0,1,-10,211.0,0.0685382128417295
standard,BCwave_b1n1s-10,1.0,1,-10,212.0,0.07141643666458809
standard,BCwave_b1n1s-10,1.0,1,-10,213.0,0.07441585658812137
standard,BCwave_b1n1s-10,1.0,1,-10,214.0,0.07753707081164833
standard,BCwave_b1n1s-10,1.0,1,-10,215.0,0.08078826930835507
standard,BCwave_b1n1s-10,1.0,1,-10,216.0,0.08418220916651671
standard,BCwave_b1n1s-10,1.0,1,-10,217.0,0.08771881147291574
standard,BCwave_b1n1s-10,1.0,1,-10,218.0,0.09140058581519214
standard,BCwave_b1n1s-10,1.0,1,-10,219.0,0.0952397895118704
standard,BCwave_b1n1s-10,1.0,1,-10,220.0,0.0992402434303322
standard,BCwave_b1n1s-10,1.0,1,-10,221.0,0.10340699522451656
standard,BCwave_b1n1s-10,1.0,1,-10,222.0,0.1077446267195947
standard,BCwave_b1n1s-10,1.0,1,-10,223.0,0.11225904523396056
standard,BCwave_b1n1s-10,1.0,1,-10,224.0,0.11696510481816437
standard,BCwave_b1n1s-10,1.0,1,-10,225.0,0.12186778784235823
standard,BCwave_b1n1s-10,1.0,1,-10,226.0,0.12696286665136558
standard,BCwave_b1n1s-10,1.0,1,-10,227.0,0.13226093277016543
standard,BCwave_b1n1s-10,1.0,1,-10,228.0,0.13777599288261205
standard,BCwave_b1n1s-10,1.0,1,-10,229.0,0.1435182845202081
standard,BCwave_b1n1s-10,1.0,1,-10,230.0,0.1494987439268569
standard,BCwave_b1n1s-10,1.0,1,-10,231.0,0.15572903372684666
standard,BCwave_b1n1s-10,1.0,1,-10,232.0,0.16221540757037856
standard,BCwave_b1n1s-10,1.0,1,-10,233.0,0.16896189177357845
standard,BCwave_b1n1s-10,1.0,1,-10,234.0,0.17597613147533797
standard,BCwave_b1n1s-10,1.0,1,-10,235.0,0.18326680870355735
standard,BCwave_b1n1s-10,1.0,1,-10,236.0,0.1908409260730819
standard,BCwave_b1n1s-10,1.0,1,-10,237.0,0.19870787351407593
standard,BCwave_b1n1s-10,1.0,1,-10,238.0,0.20687713511662023
standard,BCwave_b1n1s-10,1.0,1,-10,239.0,0.21536017084417663
standard,BCwave_b1n1s-10,1.0,1,-10,240.0,0.22416967219601394
standard,BCwave_b1n1s-10,1.0,1,-10,241.0,0.23331692125349335
standard,BCwave_b1n1s-10,1.0,1,-10,242.0,0.24281914888205308
standard,BCwave_b1n1s-10,1.0,1,-10,243.0,0.25269657761451897
standard,BCwave_b1n1s-10,1.0,1,-10,244.0,0.2629646571938702
standard,BCwave_b1n1s-10,1.0,1,-10,245.0,0.2736238905307152
standard,BCwave_b1n1s-10,1.0,1,-10,246.0,0.2846766726578675
standard,BCwave_b1n1s-10,1.0,1,-10,247.0,0.296131827665662
standard,BCwave_b1n1s-10,1.0,1,-10,248.0,0.3080017140358322
standard,BCwave_b1n1s-10,1.0,1,-10,249.0,0.32029006402101223
standard,BCwave_b1n1s-10,1.0,1,-10,250.0,0.33301531408088214
standard,BCwave_b1n1s-10,1.0,1,-10,251.0,0.34620224697300916
standard,BCwave_b1n1s-10,1.0,1,-10,252.0,0.35986353182920855
standard,BCwave_b1n1s-10,1.0,1,-10,253.0,0.3740147009448322
standard,BCwave_b1n1s-10,1.0,1,-10,254.0,0.3886707520799327
standard,BCwave_b1n1s-10,1.0,1,-10,255.0,0.40385545922913296
standard,BCwave_b1n1s-10,1.0,1,-10,256.0,0.41957699255062686
standard,BCwave_b1n1s-10,1.0,1,-10,257.0,0.43579872017251914
standard,BCwave_b1n1s-10,1.0,1,-10,258.0,0.4525585706747586
standard,BCwave_b1n1s-10,1.0,1,-10,259.0,0.469859390336998
standard,BCwave_b1n1s-10,1.0,1,-10,260.0,0.4877043001178031
standard,BCwave_b1n1s-10,1.0,1,-10,261.0,0.5061463429901683
standard,BCwave_b1n1s-10,1.0,1,-10,262.0,0.5252060027831824
standard,BCwave_b1n1s-10,1.0,1,-10,263.0,0.5449012598786378
standard,BCwave_b1n1s-10,1.0,1,-10,264.0,0.5652347101095856
standard,BCwave_b1n1s-10,1.0,1,-10,265.0,0.5861770879568893
standard,BCwave_b1n1s-10,1.0,1,-10,266.0,0.607749929852209
standard,BCwave_b1n1s-10,1.0,1,-10,267.0,0.6300337231550014
standard,BCwave_b1n1s-10,1.0,1,-10,268.0,0.6529832806781326
standard,BCwave_b1n1s-10,1.0,1,-10,269.0,0.6765734043732173
standard,BCwave_b1n1s-10,1.0,1,-10,270.0,0.7008569012519404
standard,BCwave_b1n1s-10,1.0,1,-10,271.0,0.7257570873581988
standard,BCwave_b1n1s-10,1.0,1,-10,272.0,0.7513146873618017
standard,BCwave_b1n1s-10,1.0,1,-10,273.0,0.7775350746027289
standard,BCwave_b1n1s-10,1.0,1,-10,274.0,0.8044178996656761
standard,BCwave_b1n1s-10,1.0,1,-10,275.0,0.8320815075393804
standard,BCwave_b1n1s-10,1.0,1,-10,276.0,0.8604112980895248
standard,BCwave_b1n1s-10,1.0,1,-10,277.0,0.8893931475446486
standard,BCwave_b1n1s-10,1.0,1,-10,278.0,0.9191894658775555
standard,BCwave_b1n1s-10,1.0,1,-10,279.0,0.949629152427191
standard,BCwave_b1n1s-10,1.0,1,-10,280.0,0.9808016796638575
standard,BCwave_b1n1s-10,1.0,1,-10,281.0,1.0128406013452491
standard,BCwave_b1n1s-10,1.0,1,-10,282.0,1.0455659912801758
standard,BCwave_b1n1s-10,1.0,1,-10,283.0,1.0789729702260487
standard,BCwave_b1n1s-10,1.0,1,-10,284.0,1.1130480423676974
standard,BCwave_b1n1s-10,1.0,1,-10,285.0,1.1478988288388952
standard,BCwave_b1n1s-10,1.0,1,-10,286.0,1.183494839739339
standard,BCwave_b1n1s-10,1.0,1,-10,287.0,1.2197445601004517
standard,BCwave_b1n1s-10,1.0,1,-10,288.0,1.2566774563851661
standard,BCwave_b1n1s-10,1.0,1,-10,289.0,1.2942915634600283
standard,BCwave_b1n1s-10,1.0,1,-10,290.0,1.3324835773465185
standard,BCwave_b1n1s-10,1.0,1,-10,291.0,1.3712614514988235
standard,BCwave_b1n1s-10,1.0,1,-10,292.0,1.4107262529985898
standard,BCwave_b1n1s-10,1.0,1,-10,293.0,1.4508822435491715
standard,BCwave_b1n1s-10,1.0,1,-10,294.0,1.4916655734228113
standard,BCwave_b1n1s-10,1.0,1,-10,295.0,1.5330204619504202
standard,BCwave_b1n1s-10,1.0,1,-10,296.0,1.5748910842906598
standard,BCwave_b1n1s-10,1.0,1,-10,297.0,1.6173155772743693
standard,BCwave_b1n1s-10,1.0,1,-10,298.0,1.6604036546193235
standard,BCwave_b1n1s-10,1.0,1,-10,299.0,1.704116362967964
standard,BCwave_b1n1s-10,1.0,1,-10,300.0,1.7485101431077832
standard,BCwave_b1n1s-10,1.0,1,-10,301.0,1.7934836118527446
standard,BCwave_b1n1s-10,1.0,1,-10,302.0,1.8388614223193454
standard,BCwave_b1n1s-10,1.0,1,-10,303.0,1.884601653605946
standard,BCwave_b1n1s-10,1.0,1,-10,304.0,1.93083714061278
standard,BCwave_b1n1s-10,1.0,1,-10,305.0,1.9773607798703057
standard,BCwave_b1n1s-10,1.0,1,-10,306.0,2.024235747155732
standard,BCwave_b1n1s-10,1.0,1,-10,307.0,2.0716546607720283
standard,BCwave_b1n1s-10,1.0,1,-10,308.0,2.119476011649095
standard,BCwave_b1n1s-10,1.0,1,-10,309.0,2.167837797049073
standard,BCwave_b1n1s-10,1.0,1,-10,310.0,2.2164312045729386
standard,BCwave_b1n1s-10,1.0,1,-10,311.0,2.2652501251297887
standard,BCwave_b1n1s-10,1.0,1,-10,312.0,2.3145093676951114
standard,BCwave_b1n1s-10,1.0,1,-10,313.0,2.3639423756717513
standard,BCwave_b1n1s-10,1.0,1,-10,314.0,2.4139124575758726
standard,BCwave_b1n1s-10,1.0,1,-10,315.0,2.464042652002654
standard,BCwave_b1n1s-10,1.0,1,-10,316.0,2.5143036753444044
standard,BCwave_b1n1s-10,1.0,1,-10,317.0,2.564841745732334
standard,BCwave_b1n1s-10,1.0,1,-10,318.0,2.6152962908734083
standard,BCwave_b1n1s-10,1.0,1,-10,319.0,2.6655939803146045
standard,BCwave_b1n1s-10,1.0,1,-10,320.0,2.716226932816788
standard,BCwave_b1n1s-10,1.0,1,-10,321.0,2.7670441965206853
standard,BCwave_b1n1s-10,1.0,1,-10,322.0,2.81797144034045
standard,BCwave_b1n1s-10,1.0,1,-10,323.0,2.868992835549558
standard,BCwave_b1n1s-10,1.0,1,-10,324.0,2.920198646840148
standard,BCwave_b1n1s-10,1.0,1,-10,325.0,2.9713797544642984
standard,BCwave_b1n1s-10,1.0,1,-10,326.0,3.0226343552952377
standard,BCwave_b1n1s-10,1.0,1,-10,327.0,3.074134639495255
standard,BCwave_b1n1s-10,1.0,1,-10,328.0,3.1254184584027787
standard,BCwave_b1n1s-10,1.0,1,-10,329.0,3.1765882966103596
standard,BCwave_b1n1s-10,1.0,1,-10,330.0,3.2275622683500864
standard,BCwave_b1n1s-10,1.0,1,-10,331.0,3.2786324179989594
standard,BCwave_b1n1s-10,1.0,1,-10,332.0,3.329716194504319
standard,BCwave_b1n1s-10,1.0,1,-10,333.0,3.3806840431770406
standard,BCwave_b1n1s-10,1.0,1,-10,334.0,3.431746744376362
standard,BCwave_b1n1s-10,1.0,1,-10,335.0,3.4827789555332807
standard,BCwave_b1n1s-10,1.0,1,-10,336.0,3.533621379339417
standard,BCwave_b1n1s-10,1.0,1,-10,337.0,3.5841127078195774
standard,BCwave_b1n1s-10,1.0,1,-10,338.0,3.6344991316180044
standard,BCwave_b1n1s-10,1.0,1,-10,339.0,3.684918508984895
standard,BCwave_b1n1s-10,1.0,1,-10,340.0,3.7350675737253636
standard,BCwave_b1n1s-10,1.0,1,-10,341.0,3.7847890441581953
standard,BCwave_b1n1s-10,1.0,1,-10,342.0,3.8344106794897472
standard,BCwave_b1n1s-10,1.0,1,-10,343.0,3.884266793769211
standard,BCwave_b1n1s-10,1.0,1,-10,344.0,3.9339674681447625
standard,BCwave_b1n1s-10,1.0,1,-10,345.0,3.9833795331446518
standard,BCwave_b1n1s-10,1.0,1,-10,346.0,4.03299480432822
standard,BCwave_b1n1s-10,1.0,1,-10,347.0,4.082978106774112
standard,BCwave_b1n1s-10,1.0,1,-10,348.0,4.1328135459705555
standard,BCwave_b1n1s-10,1.0,1,-10,349.0,4.182839073349387
standard,BCwave_b1n1s-10,1.0,1,-10,350.0,4.23336231546589
standard,BCwave_b1n1s-10,1.0,1,-10,351.0,4.284145601392784
standard,BCwave_b1n1s-10,1.0,1,-10,352.0,4.334982035415032
standard,BCwave_b1n1s-10,1.0,1,-10,353.0,4.385992716250588
standard,BCwave_b1n1s-10,1.0,1,-10,354.0,4.4368886228069435
standard,BCwave_b1n1s-10,1.0,1,-10,355.0,4.4874259344626015
standard,BCwave_b1n1s-10,1.0,1,-10,356.0,4.537887671544658
standard,BCwave_b1n1s-10,1.0,1,-10,357.0,4.588139518245709
standard,BCwave_b1n1s-10,1.0,1,-10,358.0,4.638556266224774
standard,BCwave_b1n1s-10,1.0,1,-10,359.0,4.689279828988771
standard,BCwave_b1n1s-10,1.0,1,-10,360.0,4.74011670251956
standard,BCwave_b1n1s-5,1.0,1,-5,1.0,0.0008203907277120352
standard,BCwave_b1n1s-5,1.0,1,-5,2.0,0.0008189893677952086
standard,BCwave_b1n1s-5,1.0,1,-5,3.0,0.000797140625335193
standard,BCwave_b1n1s-5,1.0,1,-5,4.0,0.0007583822106346282
standard,BCwave_b1n1s-5,1.0,1,-5,5.0,0.000716234401141736
